,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
2330,143,MT,30740,B,"12,0",0,,"1,64938","1,94549","0,20724",Cinza,PROVA CINZA REGULAR,,"0,0",2019,"694,5436000823975",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/30740.png,"Questão 143

Uma administração municipal encomendou a pintura
de dez placas de sinalização para colocar em seu pátio
de estacionamento.

O profissional contratado para o serviço inicial
pintará o fundo de dez placas e cobrará um valor de
acordo com a área total dessas placas. O formato
de cada placa é um círculo de diâmetro d = 40 cm,
que tangencia lados de um retângulo, sendo que
o comprimento total da placa é h = 60 cm, conforme
ilustrado na figura. Use 3,14 como aproximação para 7.

PROIBIDO
ESTACIONAR

Qual é a soma das medidas das áreas, em centimetros
quadrados, das dez placas?

O 16628

O 22280

O 28560

O 41120

e 66240
","760,4210376739502","958,904504776001","60,36",0,1
1230,148,MT,26970,C,"13,0",0,,"2,17583","2,61799","0,14814",CINZA,PROVA CINZA PPL,,"0,0",2016,"761,8062496185303",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/26970.png,"QUESTÃO 148 >>>>>>>>>>>>"">"">"">"">"">>>——

O proprietário de um restaurante deseja comprar um
tampo de vidro retangular para a base de uma mesa,
como ilustra a figura.

Sabe-se que a base da mesa, considerando a borda
extema, tem a forma de um retângulo, cujos lados medem
AC= 105 cm e AB= 120 cm

Na loja onde será feita a compra do tampo, existem
cinco tipos de opções de tampos, de diferentes dimensões,
e todos com a mesma espessura, sendo:

Tipo 1: 110 cmx 125 cm

Tipo 2: 115 cmx 125 cm

Tipo 3: 115 cmx 130 cm

Tipo 4: 120 em x 130 cm

Tipo 5: 120 em x 135 cm

O proprietário avalia, para comodidade dos usuários,
que se deve escolher o tampo de menor área possível
que satisfaça a condição: ao colocar o tampo sobre a
base, de cada lado da borda extema da base da mesa,
deve sobrar uma região, correspondendo a uma moldura
em vidro, limitada por um mínimo de 4 cm e máximo de
8 cm fora da base da mesa, de cada lado.
Segundo as condições anteriores, qual é o tipo de tampo
devidro que o proprietário avaliou que deve ser escolhido?

1

2
3
4
5
","816,1013126373291","965,5396938323976","57,41",0,1
3440,161,MT,86466,C,"14,0",0,,"2,96283","2,44795","0,21497",CINZA,PROVA CINZA REGULAR,,"0,0",2022,"744,7974681854248",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/86466.png,"QUESTÃO 161

Uma empresa produz e vende um tipo de chocolate,
maciço, em formato de cone circular reto com as medidas
do diâmetro da base e da altura iguais a 8 cm e 10 cm,
respectivamente, como apresenta a figura.

10 cm

Devido a um aumento de preço dos ingredientes
utilizados na produção desse chocolate, a empresa
decide produzir esse mesmo tipo de chocolate com um
volume 19% menor, no mesmo formato de cone circular
reto com altura de 10 cm.

Para isso, a empresa produzirá esses novos chocolates
com medida do raio da base, em centímetro, igual a

152
324
3,60.
648.
7,20

vo00oo
","781,0227870941162","891,625165939331","60,75",0,1
3321,178,MT,111699,E,"15,0",0,,"1,35497","1,14151","0,18318",CINZA,PROVA CINZA PPL,,,2021,"614,1536235809326",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111699.png,"Questão 178 enem

Descenso notumo fisiológico é definido como uma
redução maior ou igual a 10% da medida da pressão
arterial (PA) sistólica registrada entre o período de vigilia e
o periodo de sono. O exame para avaliar se um indivíduo
apresenta ou não descenso fisiológico é chamado de
MAPA e consiste no monitoramento da evolução da PA
sistólica do indivíduo ao longo de 24 horas. O resultado
desse exame consiste em um gráfico no qual a região
correspondente ao período de sono está hachurada em
cinza.

Cinco pacientes foram submetidos a esse exame, eos.
resultados mostram que apenas um paciente apresentou
ausência de descenso noturno.

VELO RO Veia Ausência de descenso rtumo se stc aceno vasco

Ter! ando micra, Bra. Cod 1 6 2010.

O gráfico que indica o resultado do exame do paciente
que apresentou ausência de descenso noturno é

sssss838s

E RAESEESIEKE SET)

sBESsEsEs

TETONCONS ET ER
","697,2711086273193","938,1811618804932","59,16",0,1
2403,180,MT,9633,B,"16,0",0,,"2,86801","1,997","0,204",Cinza,PROVA CINZA PPL,,"0,0",2019,"699,7005939483643",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/9633.png,"Questão 180

As coordenadas usualmente utiizadas na localização
de um ponto sobre a superfície terrestre são a latitude
e a longitude. Para tal, considera-se que a Terra tem a
forma de uma esfera.

Um meridiano é uma circunferência sobre a
superfície da Terra que passa pelos polos Norte e Sul,
representados na figura por PN e PS. O comprimento
da semicircunferência que une os pontos PN e PS tem
“comprimento igual a 20 016 km. A linha do Equador
também é uma circunferência sobre a superfície da
Terra, com raio igual ao da Terra, sendo que o plano
que a contém é perpendicular ao que contém qualquer
meridiano.

Seja P um ponto na superfície da Terra, C o centro
da Terra e o segmento PC um raio, conforme mostra a
figura. Seja (p O ângulo que o segmento PC faz com
o plano que contém a linha do Equador. A medida em
graus de q é a medida da latitude de P.

PN

Equador

Ps
Meridiano

“Suponha que a partir da linha do Equador um navio
viaja subindo em direção ao Polo Norte, percorrendo um
meridiano, até um ponto P com 30 graus de latitude.

Quantos quilômetros são percorridos pelo navio?
O 1668

O 333

e 5004

O 6672

e 10008
","737,7736568450928","851,8736362457275","60,2",0,1
2859,148,MT,111417,D,"17,0",0,,"1,2699","0,10918","0,19918",CINZA,PROVA CINZA PPL,,"0,0",2020,"510,9207630157471",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111417.png,"Questão 148 Dmenamonmenamoronenem
Uma pessoa chega ao hotel no qual fez uma
pré-reserva com diária no valor de R$ 210,00. Como
a confirmação da reserva não foi feita, quando chegou
ao hotel não havia quarto disponível. Dessa forma,
O recepcionista apresentou-lhe algumas opções de
hotéis com diárias mais baratas, mas localizados a
certa distância desse hotel, conforme apresentado.

+ Hi: diária de R$ 180,00 e distância de 7 km;

+ H2: diária de R$ 200,00 e distância de 1,6 kr

+ H3 diária de R$ 199,00 e distância de 4,5 kr

+ H4: diária de R$ 190,00 e distância de 1,5 kr

+ H5: diária de R$ 205,00 e distância de 1,2 km.

Para se locomover até um outro hotel, essa pessoa
utiliza um táxi que cobra R$ 2,50 por quilômetro rodado
mais taxa fixa de R$ 6,00.

Sua escolha será em função do menor custo,
“composto pelo valor da diária mais a locomoção de táxi.
O hotel escolhido foi o

Hr

0000
5
","597,5382328033447","855,0779819488525","59,96",0,1
3270,139,MT,117675,C,"18,0",0,,"2,23694","1,91314","0,17071",CINZA,PROVA CINZA REGULAR,,,2021,"691,3225650787354",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117675.png,"Questão 139

enemecor

Um atieta produz sua própria refeição com custo fixo de R$ 10,00. Ela é composta por 400 g de frango, 600 g de

batata-doce e uma hortaliça. Atualmente, os preços dos produtos para essa refeição são:

Refeição

Frango (kg)

Batata-doce (kg)

Hortaliças (unidade)

R$ 12,50

R$5,00)

R$ 2,00)

Em relação a esses preços, haverá um aumento de 50% no preço do quilograma de batata-doce, e os outros
preços não serão alterados. O atleta deseja manter o custo da refeição, a quantidade de batata-doce e a hortaliça.

Portanto, terá que reduzir a quantidade de frango.

Qual deve ser a redução percentual da quantidade de frango para que o atleta alcance seu objetivo?

ois
o 280
e 300
O s00
e 770
","742,5563335418701","888,2730007171631","58,54",0,1
2033,180,MT,48921,A,"19,0",0,,"2,1454","2,05264","0,19268",Cinza,PROVA CINZA REGULAR,,"0,0",2018,"705,2557468414307",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/48921.png,"QUESTÃO 180

Uma empresa deseja iniciar uma campanha
publicitária divulgando uma promoção para seus
possíveis consumidores. Para esse tipo de campanha,
os meios mais viáveis são a distribuição de panfletos
na rua e anúncios na rádio local. Considera-se que a
população alcançada pela distribuição de panfletos seja
igual à quantidade de panfletos distribuídos, enquanto
que a alcançada por um anúncio na rádio seja igual à
quantidade de ouvintes desse anúncio. O custo de cada
anúncio na rádio é de R$ 120,00, e a estimativa é de
que seja ouvido por 1 500 pessoas. Já a produção e
a distribuição dos panfetos custam R$ 180,00 cada
1000 unidades. Considerando que cada pessoa será
alcançada por um único desses meios de divulgação, a
empresa pretende investir em ambas as mídias.
Considere X e Y os valores (em real) gastos em
anúncios na rádio e com panfletos, respectivamente.
O número de pessoas alcançadas pela campanha será
dado pela expressão

","757,037878036499","909,3587398529052","59,63",0,1
786,177,MT,33017,D,"20,0",0,,"1,58698","0,5657","0,15746",Cinza,PROVA CINZA REGULAR,,"0,0",2015,"556,5612316131592",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/33017.png,"QUESTÃO 177 0000

Atualmente existem diversas locadoras de veículos,
permitindo uma concorrência saudável para o mercado,
fazendo com que os preços se tomem acessíveis.

Nas locadoras P e Q, o valor da diária de seus carros
depende da distância percorrida, conforme o gráfico.

Valor da dária (R$)

0[ 5 40 & 59 100 120 dão 100

Distincia porco (em)

Disponível em vam sempretoscom. Acesso em: 7 ago 2012.
O valor pago na locadora Q é menor ou igual àquele pago
na locadora P para distâncias, em quilômetros, presentes
em qual(is) intervalo(s)?
De 20 a 100.
De 80 a 130.
De 100 a 160.
De 0a 20 e de 100 a 160.
De 40 a 80 e de 130 a 160.
","630,1133632659912","835,2057933807373","57,87",0,1
2425,178,MT,12612,B,"21,0",0,,"2,35583","1,19602","0,179",AMARELA,MATEMATICA DIGITAL AMARELA,,"0,0",2020,"619,6014881134033",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/12612.png,"Para sua festa de 17 anos, o aniversariante convidará 132 pessoas. Ele convidará 26
mulheres a mais do que o número de homens. A empresa contratada para realizar a festa
cobrará R$ 50,00 por convidado do sexo masculino e R$ 45,00 por convidado do sexo
feminino.

Quanto esse aniversariante terá que pagar, em real, à empresa contratada, pela quantidade de
homens convidados para sua festa?

O 238500
2650,00
3 300,00

3.950,00

0090060

5.300,00
","667,6952838897705","806,1902523040771","58,95",0,1
754,159,MT,30384,D,"22,0",0,,"2,17552","2,57267","0,20434",Cinza,PROVA CINZA PPL,,"0,0",2015,"757,2739124298096",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/30384.png,"QUESTÃO 159

Considere que os quarteirões de um bairro tenham
sido desenhados no sistema cartesiano, sendo a origem
o cruzamento das duas ruas mais movimentadas
desse bairro. Nesse desenho, as ruas têm suas
larguras desconsideradas e todos os quarteirões são
quadrados de mesma área e a medida de seu lado é a
unidade do sistema.

A seguir há uma representação dessa situação, em
que os pontos A, B, C e D representam estabelecimentos.
comerciais desse bairro.

x

»x

1 quarteirão:

Suponha que uma rádio comunitária, de fraco sinal,
garante área de cobertura para todo estabelecimento que
Se encontre num ponto cujas coordenadas satisfaçam à
inequação: 2 +y-2x—4y-3150.

A fim de avaliar a qualidade do sinal, e proporcionar
uma futura melhora, a assistência técnica da rádio realizou
uma inspeção para saber quais estabelecimentos estavam
dentro da área de cobertura, pois estes conseguem ouvir
a rádio enquanto os outros não.

Os estabelecimentos que conseguem ouvir a rádio são
apenas

O ec.

O Bec.

O Ben.

O A Bec

O B.ceD.
","807,4324131011963","957,860231399536","60,22",0,1
3616,170,MT,125995,A,"23,0",0,,"2,06832","2,14397","0,23203",CINZA,PROVA CINZA PPL,,"0,0",2022,"714,3943309783936",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/125995.png,"QUESTÃO 170

A meta de uma concessionária de automóveis é
vender, pelo menos, 104 carros por mês. Sabe-se
que, em média, em dias em que não são oferecidos
descontos, são vendidos 3 carros por dia; em dias em
que hão desconto mínimo, são vendidos 4 carros por dia;
e, em dias em que há o desconto máximo, são vendidos
5 carros por dia.

No mês atual, até o fim do expediente do sexto dia
em que a concessionária abriu, não foram oferecidos
descontos, tendo sido vendidos 18 carros, conforme
indicava a média. Ela ainda abrirá por mais 20 dias neste
mês.

A menor quantidade de dias em que será necessário
oferecer o desconto máximo, de modo que ainda seja
possivel a concessionária alcançar sua meta de vendas
para o mês, é

06

o 10.

on

os

eis

","764,8603916168213","923,651933670044","61,6",0,1
1250,158,MT,83234,A,"24,0",0,,"0,98951","1,93987","0,07908",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"693,9690113067627",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/83234.png,"QUESTÃO 158 jin romeo

Um dos grandes desafios do Brasil é o gerenciamento
dos seus recursos naturais, sobretudo Os recursos
hídricos. Existe uma demanda crescente por água e o
risco de racionamento não pode ser descartado. O nível
de água de um reservatório foi monitorado por um período,
sendo o resultado mostrado no gráfico. Suponha que essa
tendência linear observada no monitoramento se prolongue
pelos próximos meses.

níveldo masrvatórt

Porcentagem com relação
à capacidade máxima

Nas condições dadas, qual o tempo mínimo, após o sexto
mês, para que o reservatório atinja o nível zero de sua
capacidade?

2 meses e meio.

3 meses e meio.

1.mês e meio.

4 meses,

1 mês.

0000
","823,566198348999","1149,956464767456","53,95",0,1
2026,176,MT,29575,D,"25,0",0,,"1,43852","1,67651","0,11455",Cinza,PROVA CINZA PPL,,"0,0",2018,"667,6595211029053",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/29575.png,"QUESTÃO 176

Em um jogo de tabuleiro, a pontuação é marcada
com fichas coloridas. Cada ficha vermelha vale um ponto.
Três fichas vermelhas podem ser trocadas por uma azul,
trôs fichas azuis podem ser trocadas por uma branca, e
trôs fichas brancas podem ser trocadas por uma verde.
Ao final do jogo, os jogadores A, B e C terminaram, cada
um, com as quantidades de fichas, conforme a tabela

seguinte:
Fichas Fichas
verdes vermelhas.
JogadorA | 3 4
JogadorB | 2 E)
Jogadorc | 1 2

De acordo com essa tabela, as classificações em primeiro,
segundo e terceiro lugares ficaram, respectivamente,
para os jogadores

O ABec
O BAec.
O c Bea
O BCea
O caes.
","753,2780170440674","978,5358905792236","55,73",0,1
3262,176,MT,85219,C,"26,0",0,,"1,53863","1,95839","0,19274",CINZA,PROVA CINZA REGULAR,,,2021,"695,847749710083",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85219.png,"Questão 176 —————————————= enemucar

Um casal está planejando comprar um apartamento
de dois quartos num bairro de uma cidade e consultou
a página de uma corretora de imóveis, encontrando
105 apartamentos de dois quartos à venda no bairro
desejado. Eles usaram um aplicativo da corretora para
gerar a distribuição dos preços do conjunto de imóveis
selecionados.

O gráfico ilustra a distribuição de frequências dos
preços de venda dos apartamentos dessa lista (em
mil reais), no qual as faixas de preço são dadas por
1800, 400), ]400, 500], 1500, 600], 1600, 700], 1700, 800],
1800, 900], 1900, 1 000), ]1 000, 1 100], 1 100, 1 200] e
Má 200, 1 300].

A mesma corretora anuncia que cerca de 50% dos
apartamentos de dois quartos nesse bairro, publicados
emsua página, têm preço de venda inferior a 550 mil reais.
No entanto, o casal achou que essa última informação
não era compatível com o gráfico obtido.

Distribuição dos preços.

300 400 500 600 700 800 900 1000 1100 1200 1300

Preço (em mil reais)
Com base no gráfico obtido, o menor preço, p (em mil reais),
para o qual pelo menos 50% dos apartamentos apresenta
preço inferior a pé

O 600.

O 700.

e 800.

O 900.

e 1000.

","768,021821975708","980,417013168335","59,64",0,1
