,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
3692,94,CN,111596,D,"11,0",0,,"1,45373","0,03244","0,1846",CINZA,PROVA CINZA PPL,,"0,0",2022,"503,2436847686768",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111596.png,"QUESTÃO 94

Uma intervenção no meio ambiente tem inquietado
muitos pesquisadores que consideram um risco reviver
uma espécie extinta. Os envolvidos são os mamutes,
paquidermes peludos extintos há milhares de anos. Em
cadáveres de mamutes recuperados de locais como
a Sibéria, estão sendo conduzidas buscas por células
somáticas com núcleos viáveis para, posteriormente,
ser tentada a sua inserção em zigotos anucleados de
elefantes.

COOPER, A. Te Year ot Mamma. PLOS Bion. mar 2006 (adota)

O método citado é denominado clonagem embrionária
porque

O permite a criação de híbridos.
depende da reprodução assistida.

leva à formação de uma nova espécie.

ooo

gera embriões cromossomicamente idênticos ao
parental.

o

está associado com transferência de genes entre
espécies.
","580,5604457855225","805,1412105560303","59,23",0,1
579,83,CN,11265,B,"12,0",0,,"3,45012","0,58043","0,186",Amarelo,PROVA AMARELA PPL,,"0,0",2015,"558,0418109893799",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/11265.png,"QUESTÃO 83

O caramujo gigante africano, Achatina fulica, é uma espécie exótica que tem despertado o interesse das
autoridades brasileiras, uma vez que tem causado danos ambientais e prejuizos econômicos à agricultura.
Aintrodução da espécie no Brasil ocorreu clandestinamente, com o objetivo de ser utilizada na alimentação humana.
Porém, o molusco teve pouca aceitação no comércio de alimentos, o que resultou em abandono e liberação
intencional das criações por vários produtores. Por ser uma espécie herbivora generalista (alimenta-se de mais
de 500 espécies diferentes de vegetais), com grande capacidade reprodutiva, tornou-se uma praga agrícola de
dificil erradicação. Associada a isto, a ausência de predadores naturais fez com que ocorresse um crescimento
descontrolado da população.

O desequilíbrio da cadeia alimentar observado foi causado pelo aumento da densidade populacional de

consumidores terciários, em função da elevada disponibilidade de consumidores secundários.
consumidores primários, em função da ausência de consumidores secundários.
consumidores secundários, em função da ausência de consumidores primários.
consumidores terciários, em função da elevada disponibilidade de produtores.

consumidores primários, em função do aumento de produtores.

o

o
o
o
e
","590,55495262146","685,1975917816162","59,3",0,1
2525,134,CN,37791,B,"13,0",0,,"3,1494","1,94233","0,11136",CINZA,PROVA CINZA PPL,,"0,0",2020,"694,2360401153564",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/37791.png,"Questão 134 DIENEMVIINEDAM NENE ron rn ne morrem moronenarmoronenam

Em um grupo de roedores, a presença de um gene dominante (A) determina indivíduos com pelagem na
cor amarela. Entretanto, em homozigose é letal, ou seja, provoca a morte dos indivíduos no útero. Já o alelo
recessivo (a) não é letal e determina a presença de pelos pretos. Com base nessas informações, considere o
heredograma:

LEGENDA
[E Aimaimacho com pelogem amaeia
(O fia fêmea com pelagem marea

MM fsissinasho com pessem pesa
O sois sms com peissem pa

Qual é a probabilidade de, na próxima ninhada do casal de roedores que está representado na figura pelos números
7e 8, nascer uma fêmea de pelagem amarela (representada pelo número 11)?
1
O 7 (25%)
í (33%)
3 (83%)
1
à (60%)

2
O)

vo oo

3
5%)
","733,4916591644287","836,3478183746338","55,57",0,1
2628,133,CN,62176,B,"14,0",0,,"3,51733","1,22751","0,16074",AMARELA,NATUREZA DIGITAL AMARELA,,"0,0",2020,"622,755765914917",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/62176.png,"O menor nivel trófico ocupado pelas aves é aquele do qual elas participam como

Em um ecossistema é observada a seguinte teia alimentar:

Aves

—

+,

Copépodes

Moluscos.

“consumidores de

o)

2000

primeira ordem.
segunda ordem.
terceira ordem.
quarta ordem.

quinta ordem.

K

Insetos

t

Algas

l

Fungos
e
bactérias

","655,7862758636475","748,3570575714111","58,04",0,1
1917,122,CN,96317,E,"15,0",0,,"4,74364","0,85268","0,22519",Cinza,PROVA CINZA PPL,,"0,0",2018,"585,2692127227783",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/96317.png,"QUESTÃO 122

O suco de repolho-roxo pode ser utilizado como indicador ácido-base em diferentes soluções. Para isso, basta
misturar um pouco desse suco à solução desejada e comparar a coloração final com a escala indicadora de pH, com
valores de 1 a 14, mostrada a seguir.

1 2 3 4 5 6 Lá 8 9 10 n 12 13 414
Vermelho Rosa Roxo Azul Verde [Amarelo]

Utilizando-se o indicador ácido-base e a escala para determinar o pH da saliva humana e do suco gástrico, têm-se,
respectivamente, as cores

vermelha e vermelha.

vermelha e azul.

rosa e roxa.

roxa e amarela.

vo000

roxa e vermelha.
","607,5232028961182","676,6955852508545","61,26",0,1
2576,117,CN,48803,C,"16,0",0,,"2,15494","1,12044","0,20733",CINZA,PROVA CINZA PPL,,"0,0",2020,"612,0531558990479",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/48803.png,"Questão 117 enamononenamononenam
Airradiação e o sucesso evolutivo das angiospermas

estão associados à ação de animais que atuam na

polinização de suas flores, principalmente os insetos.

Nessa relação, os insetos foram e ainda são beneficiados

com alimento.

Para as angiospermas, essa coevolução foi vantajosa por

reduzir a ação dos herbívoros.
reduzir a competição interespecífica.

aumentar sua variabilidade genética.

aumentar a produção de grãos de pólen.

aumentar a independência da água para reprodução.

voos
","662,4548435211182","814,3751621246338","60,37",0,1
1184,125,CN,97445,B,"17,0",0,,"2,68655","1,88996","0,11149",AMARELA,PROVA AMARELA REGULAR,,"0,0",2016,"688,988447189331",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/97445.png,"QUESTÃO 80

A invenção e o acoplamento entre engrenagens
revolucionaram a ciência na época e propiciaram a
invenção de várias tecnologias, como os relógios.
Ao construir um pequeno cronômetro, um relojoeiro
usa o sistema de engrenagens mostrado. De acordo
com a figura, um motor é ligado ao eixo e movimenta
as engrenagens fazendo o ponteiro girar. A frequência
do motor é de 18 RPM, e o número de dentes das
engrenagens está apresentado no quadro.

Engrenagem | Dentes
A 24
B 72
c 36
D 108

Exa do motos

Engrenagem

Engrenagem €

A frequência de giro do ponteiro, em RPM, é
o1

o2

ou.

os.

o 162
","735,0103855133057","855,5905818939209","55,57",0,1
1569,35,CN,32923,D,"18,0",0,,"3,65204","1,66277","0,25335",CINZA,PROVA CINZA PPL,,"0,0",2017,"666,2814617156982",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/32923.png,"QUESTÃO 125

Os polímeros são materiais amplamente utilizados na sociedade moderna, alguns deles na fabricação de
embalagens e filmes plásticos, por exemplo. Na figura estão relacionadas as estruturas de alguns monômeros usados
na produção de polímeros de adição comuns.

CH,
VA
HC=—=—

jo) GN

/— CH,
HC HC —=CHo HC

Cl
HaN

Acrilamida Cloreto de vinila Estireno Etileno (eteno) Propileno (propeno)
(cloropropeno)

Dentre os homopolímeros formados a partir dos monômeros da figura, aquele que apresenta solubilidade em água é

polietileno.
poliestireno.
polipropileno.
poliacrilamida.
policloreto de vinila.

VOO
","693,8092708587646","784,0054035186768","62,67",0,1
2675,102,CN,82243,E,"19,0",0,,"1,92924","2,72331","0,17678",CINZA,PROVA CINZA REGULAR,,"0,0",2020,"772,3324298858643",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/82243.png,"Questão 102 ManT=ST= Tama oa

Em seu laboratório, um técnico em química foi
incumbido de tratar um resíduo, evitando seu descarte
direto no meio ambiente. Ao encontrar o frasco, observou
a seguinte informação: “Resíduo: mistura de acetato de
etila e água”.

Considere os dados do acetato de etila:
solubilidade em água;

+ Massa específica = 0,9 g cm:

+ Temperatura de fusão = -83“C;

+ Pressão de vapor maior que a da água.
A fim de tratar o resíduo, recuperando o acetato de etila,
o técnico deve

O evaporar o acetato de etila sem alterar o conteúdo de
água.

O fitrar a mistura utilizando um funil comum e um papel
de fitro.

O realizar uma destilação simples para separar a água do
acetato de etila

O proceder a uma centrifugação da mistura para remover
o acetato de etila.

O decantar a mistura separando os dois componentes em

um funil adequado.
","831,2456607818604","1000,3178119659424","58,84",0,1
3000,133,CN,90025,D,"20,0",0,,"3,26844","1,288","0,21776",CINZA,PROVA CINZA PPL,,,2021,"628,8020610809326",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/90025.png,"Questão 133 enemar

No dia 14 de julho de 2015, a sonda espacial norte-
-americana New Horizons atingiu o ponto mais próximo
que qualquer artefato humano esteve do planeta-anão
Plutão. Neste instante a distância da sonda à Terra
era de aproximadamente 5 bilhões de quilômetros.
As primeiras imagens de Plutão não chegaram à Terra
instantaneamente quando enviadas através de um sinal
de rádio, pois a velocidade da luz é de 3 x 10º m/s.

NOGUEIRA S Uma faça é Pio. Pesquisa Papas. 234 ao 015 Done
e revstapenqud pes e uasso ee 21 2095 [saldo

No momento da máxima aproximação de Plutão, o
valor mais próximo do tempo decorrido entre o envio de
uma imagem pela antena transmissora da sonda e sua
recepção por uma antena receptora na Terra é

O 46x 10s.
O 93x10's.
O 16=10's.
O 17x 10s.
O 34x 10's.
","661,4940166473389","761,7895603179932","60,89",0,1
1442,19,CN,82421,C,"21,0",0,,"2,89479","1,7348","0,11597",CINZA,PROVA CINZA REGULAR,,"0,0",2017,"673,4817028045654",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/82421.png,"QUESTÃO 109

A invenção do LED azul, que permite a geração de outras cores para compor a luz branca, permitiu a construção
de lâmpadas energeticamente mais eficientes e mais duráveis do que as incandescentes e fluorescentes. Em um
experimento de laboratório, pretende-se associar duas pilhas em série para acender um LED azul que requer 3,6 volts
para o seu funcionamento. Considere as semirreações de redução e seus respectivos potenciais mostrados no quadro.

Semirreação de redução ES (v)
Cet (aq) + e: — Ce% (aq) 1,61
Cr,0,;” (aq) + 14 H* (aq) + 6 e"" — 2 Cre* (aq) + 7 H,0 (1) 133
NE: (aq) + 2e:— Ni(s) -0,25
Zn? (aq) +26 — Zn (s) -0,76

Qual associação em série de pilhas fomece diferença de potencial, nas condições-padrão, suficiente para acender o LED azul?

Grafte Grafite

Cereces ne ze mor, Cetece» Cro, Ni zm

","715,9583568572998","827,9125690460205","55,8",0,1
1394,13,CN,81971,B,"22,0",0,,"2,43217","2,43127","0,10862",CINZA,PROVA CINZA REGULAR,,"0,0",2017,"743,1261539459229",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/81971.png,"QUESTÃO 103

A epilação a laser (popularmente conhecida como
depilação a laser) consiste na aplicação de uma fonte de luz
para aquecer e causar uma lesão localizada e controlada
nos folículos capilares. Para evitar que outros tecidos sejam
danificados, selecionam-se comprimentos de onda que são
absorvidos pela melanina presente nos pelos, mas que não
afetam a oxi-hemoglobina do sangue e a água dos tecidos
da região em que o tratamento será aplicado. A figura
mostra como é a absorção de diferentes comprimentos de
onda pela melanina, oxi-hemoglobina e água.

Melanina

Oxi-hemoglobina

""Água

T TT
400 S00 GM 700 EO S00 1000 1100

Comprimento de onda (nm)

MACEDO, E 5. MONTEIRO, E. O. Epiação com laser e luz intensa pulsada.
Revista Brasileira de Medicina, Disponivel em: ww morezaiccombr
Acesso em: 4 se, 2016 (adaptado)

Qual é o comprimento de onda, em nm, ideal para a
epilação a laser?

O 400

o 700

e 1100

O 900

e 500
","794,1262722015381","927,2806644439696","55,43",0,1
147,58,CN,24942,D,"23,0",0,,"2,03602","0,51719","0,17893",Branco,PROVA BRANCA REGULAR,,,2014,"551,7284870147705",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/24942.png,"QUESTÃO58 —=———————————————————ammmmum

O potencial brasileiro para transformar lixo em
energia permanece subutilizado — apenas pequena parte
dos resíduos brasileiros é utilizada para gerar energia.
Contudo, bons exemplos são os aterros sanitários,
que utilizam a principal fonte de energia ali produzida.
Alguns aterros vendem créditos de carbono com base
no Mecanismo de Desenvolvimento Limpo (MDL), do
Protocolo de Kyoto.

Essa fonte de energia subutilizada, citada no texto, é o
O etanol, obtido a partir da decomposição da matéria
orgânica por bactérias.

gás natural, formado pela ação de fungos
decompositores da matéria orgânica.

óleo de xisto, obtido pela decomposição da matéria
orgânica pelas bactérias anaeróbias.

gás metano, obtido pela atividade de bactérias
anaeróbias na decomposição da matéria orgânica.

gás liquefeito de petróleo, obtido pela decomposição
de vegetais presentes nos restos de comida.

vo oo
","607,3729991912842","767,6188945770264","58,95",0,1
2230,93,CN,85548,D,"24,0",0,,"2,96175","0,58267","0,11175",Cinza,PROVA CINZA REGULAR,,"0,0",2019,"558,2706928253174",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85548.png,"Questão 93

Um experimento simples, que pode ser realizado
“com materiais encontrados em casa, é realizado da
seguinte forma: adiciona-se um volume de etanol em
um copo de vidro e, em seguida, uma folha de papel.
Com o passar do tempo, observa-se um comportamento
peculiar: o etanol se desloca sobre a superfície do papel,
superando a gravidade que o atrai no sentido oposto,
“como mostra a imagem. Para parte dos estudantes, isso
ocorre por causa da absorção do líquido pelo papel.

Papeldefitro. ——— ,Copo de vidro

O evaporação do líquido.
O diferença de densidades.

O reação química com o papel.

O capilaridade nos poros do papel.

O resistência ao escoamento do liquido.
","599,9939441680908","709,3708515167236","55,59",0,1
1897,112,CN,11276,D,"25,0",0,,"4,04524","1,47668","0,2267",Cinza,PROVA CINZA PPL,,"0,0",2018,"647,6752758026123",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/11276.png,"QUESTÃO 112

Objetos de prata sofrem escurecimento devido à
sua reação com enxofre. Estes materiais recuperam seu
brilho característico quando envoltos por papel alumínio e
mergulhados em um recipiente contendo água quente e
sal de cozinha.

A reação não balanceada que ocorre é:

AG;S (5) + AI(S) —ALS, (5) + Ag (5)
Dados da massa molar dos elementos (g mor?)
Ag=108;S=32.

UCKO, D.A. Química para as ciências da saúde: um itrodução à química.
Crnicas bsapes São Paso Mario, 1266 (ass

Utilizando o processo descrito, a massa de prata metálica
que será regenerada na superfície de um objeto que
contém 2,48 g de Ag,S é

O 054g

O 1,089

O 191g

O 2169

o 3829
","673,7010478973389","754,8325061798096","61,34",0,1
1892,109,CN,111394,C,"26,0",0,,"2,58095","2,06279","0,24535",Cinza,PROVA CINZA REGULAR,,"0,0",2018,"706,2833309173584",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111394.png,"QUESTÃO 109

Na mitologia grega, Nióbia era a filha de Tântalo, dois
personagens conhecidos pelo sofrimento. O elemento
químico de número atômico (Z) igual a 41 tem propriedades.
químicas e físicas tão parecidas com as do elemento de
número atômico 73 que chegaram a ser confundidos.
Por isso, em homenagem a esses dois personagens da
mitologia grega, foi conferido a esses elementos os nomes
de nióbio (Z = 41) e tântalo (Z = 73). Esses dois elementos
químicos adquiriram grande importância econômica na
metalurgia, na produção de supercondutores e em outras
aplicações na indústria de ponta, exatamente pelas
propriedades químicas e físicas comuns aos dois.
MEAN 5 Achar que detaparco oasis re ducto a
“ur os alema qua Pd Jan: aa 207 (açao
A importância econômica e tecnológica desses elementos,
pela similaridade de suas propriedades químicas e físicas,
deve-sea

terem elétrons no subnível f.

serem elementos de transição interna.
pertencerem ao mesmo grupo na tabela periódi
terem seus elétrons mais externos nos níveis 4 e 5,
respectivamente.

estarem localizados na família dos alcalinos terrosos
e alcalinos, respectivamente.

o
(o)
o
(E)

","745,8012104034424","873,2836246490479","62,27",0,1
