,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
7,8,CH,49583,C,"11,0",0,,"1,72415","0,43534","0,013",Branco,PROVA BRANCA REGULAR,,,2014,"543,5340404510498",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/49583.png,"QUESTÃO 08. ==="" gym

Todo homem de bom juizo, depois que tiver realizado
sua viagem, reconhecerá que é um milagre manifesto ter
podido escapar de todos os perigos que se apresentam
em sua peregrinação; tanto mais que há tantos outros
acidentes que diariamente podem aí ocorrer que seria
coisa pavorosa àqueles que aí navegam querer pô-los
todos diante dos olhos quando querem empreender
suas viagens.
“4.9.7 Histoire de pluius voyage avetures. 180. in: DELUMEAU. 1 História do
red no Ocidente T400-1EDO. São Paulo: Cia das Letras 2606 (adoptado)
Esse relato, associado ao imaginário das viagens
marítimas da época modema, expressa um sentimento de

O gosto pela aventura.

O fascínio pelo fantástico.
O temor do desconhecido.
O interesse pela natureza
& purgação dos pecados.
","622,9894161224365","809,2825412750244","50,65",0,1
1044,55,CH,85884,B,"12,0",0,,"4,1164","1,87825","0,09613",AMARELA,PROVA AMARELA REGULAR,,"0,0",2016,"687,8297328948975",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85884.png,"QUESTÃO 10

A regulação das relações de trabalho compõe uma
estrutura complexa, em que cada elemento se ajusta aos
demais. A Justiça do Trabalho é apenas uma das peças
dessa vasta engrenagem. A presença de representantes
classistas na composição dos órgãos da Justiça do
Trabalho é também resultante da montagem dessa
regulação. O poder normativo também reflete essa
característica. Instituída pela Constituição de 1934, a
Justiça do Trabalho só vicejou no ambiente político do
Estado Novo instaurado em 1937.

ROMA, A. dust do Trsbao: ento do Estado Mo: PANDOLFL O. (09)

Repensando o Estado Nova. Ro de Jane: Eber FGV. 1986.
A criação da referida instituição estatal na conjuntura
histórica abordada teve por objetivo

legitimar os protestos fabris.
ordenar os conflitos laborais.
oficializar os sindicatos plurais.
assegurar os princípios liberais.
unificar os salários profissionais.

voces
","718,3926105499268","796,9729900360107","54,81",0,1
1844,85,CH,88814,C,"13,0",0,,"2,75348","0,89648","0,24325",Amarela,PROVA AMARELA PPL,,"0,0",2018,"589,644193649292",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/88814.png,"QUESTÃO 85

Em Utopia, tudo é comum a todos. A distribuição
dos bens lá não é um problema, não se vê nem pobre
nem mendigo e, embora ninguém tenha nada de seu,
todos são ricos. Haverá maior riqueza do que levar uma
existência alegre e pacífica, lvre de ansiedades e sem
precisar se preocupar com a subsistência?

nor + upa toeeiea ame

O inibir a ascensão da burguesia.
O estar a destruição da natureza.
O combater o domínio do capita.
O eliminar a intolerância religiosa.
O superar o atraso tecnológico.
","626,8303394317627","746,2923526763916","62,16",0,1
3070,64,CH,118129,A,"14,0",0,,"3,22966","0,96248","0,14036",AMARELA,PROVA AMARELA REGULAR,,,2021,"596,2507724761963",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/118129.png,"Questão 64
TEXTOI

Macaulay enfatizou o glorioso acontecimento
representado pela luta do Parlamento contra Carlos |
em prol da liberdade política e religiosa do povo inglês;
significou o primeiro confronto entre a liberdade e a
tirania real, primeiro combate em favor do Iluminismo e
do Liberalismo.

ARRUDA, 1,4 Perspectivas da imolução inca.
Rev Bra Mit. 7, 164 fog)

TEXTO

A Revolução Inglesa, como todas as revoluções,
foi causada pela ruptura da velha sociedade, e não
pelos desejos da velha burguesia. Na década de 1640,
camponeses se revoltaram contra os cercamentos,
tecelões contra a miséria resultante da depressão e os
crentes contra o Anticristo a fim de instalar o reino de
Cristo na Terra.

ML. Uma reoição burguesa? Re. Bra. Met 1.7. 190 (tato

A concepção da Revolução Inglesa apresentada no Texto Il
diferencia-se da do Texto | ao destacar a existência de
O pluralidade das demandas sociais.
homogeneidade das lutas religiosas.
unicidade das abordagens históricas.
superficialidade dos interesses políticos.
superioridade dos aspectos econômicos.

","633,1984996795654","733,7920665740967","57,02",0,1
2799,55,CH,89808,D,"15,0",0,,"2,10695","0,73908","0,14776",AMARELA,PROVA AMARELA REGULAR,,"0,0",2020,"573,9133358001709",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/89808.png,"Questão 55
Dois grandes eventos históricos tomaram possível
um caso como o de Menocchio: a invenção da imprensa
e a Reforma. A imprensa lhe permitiu confrontar os
livros com a tradição oral em que havia crescido e lhe
forneceu as palavras para organizar o amontoado de
ideias e fantasias que nele conviviam. A Reforma lhe
deu audácia para comunicar o que pensava ao padre do
vilarejo, conterrâneos, inquisidores — mesmo não tendo
“conseguido dizer tudo diante do papa, dos cardeais e dos.
príncipes, como queria.
irão Sã aC casas O.
Os acontecimentos históricos citados ajudaram esse
indivíduo, no século XVI, a repensar a visão católica do
mundo ao possibiitarem a

consulta pública das bibliotecas reais.
sofisticação barroca do ritual litárgico.
aceitação popular da educação secular.
interpretação autônoma dos textos bíblicos.
correção doutrinária das heresias medievais.

0000
","630,0132274627686","784,3296527862549","57,39",0,1
2165,61,CH,40836,D,"16,0",0,,"2,7524","0,48486","0,18766",Amarela,PROVA AMARELA PPL,,"0,0",2019,"548,4812259674072",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/40836.png,"Questão 61

O espírito humano controla as máquinas cada vez
mais potentes que criou. Mas a lógica dessas máquinas
artificiais controla cada vez mais o espírito dos cientistas,
sociólogos, políticos e, de modo mais abrangente, todos
aqueles que, obedecendo à soberania do cálculo,
ignoram tudo o que não é quantificável, ou seja, os
sentimentos, sofrimentos, alegrias dos seres humanos.
Essa lógica é assim aplicada ao conhecimento e à
conduta das sociedades, e se espalha em todos os
setores da vida.

MORIN, E. O método 5: a humanidade da humanidade.

Porto Alegre: Sulina, 2012 (adaptado)

No contexto atual, essa crítica proposta por Edgar Morin
se aplica à
intensificação das relações interpessoais.
O descentralização do poder econômico.
O fragmentação do mercado consumidor.
O valorização do paradigma tecnológi
O simplificação das atividades laborais.

","589,1411304473877","707,7996730804443","59,38",0,1
2169,63,CH,84206,E,"17,0",0,,"1,94379","0,76871","0,16813",Amarela,PROVA AMARELA PPL,,"0,0",2019,"576,8792629241943",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/84206.png,"Questão 63
Embora os centros de decisão permaneçam
fortemente centralizados nas cidades mundiais, as
atividades produtivas podem ser desconcentradas, desde
que haja conexões fáceis entre as unidades produtivas
e os centros de gestão e exista a disponibilidade de
trabalho qualificado e uma base técnica adequada às
operações industriais.
EGLER,C. A. G. Questão regional e a gestão do território no Eras
In-CASTRO, LE; CORRÊA, RL: GOMES, P C.C. (Org) Geografia:
“conceitos o tomas, Rio de Janeiro: Bertrand Brasi, 2014
A mudança nas atividades produtivas a que o texto faz
referência é motivada pelo seguinte fator:
O Definição volátil das taxas aduaneiras e cambiais.
O Prestação regulada de serviços bancários e
financeiros.
O Controle estrito do planejamento familiar e fluxo
populacional.
O Renovação constante das normas jurídicas e marcos
contratuais.
O Oferta suficiente de infraestruturas logísticas e
serviços especializados.
","636,0523700714111","803,6963939666748","58,41",0,1
1070,68,CH,54217,B,"18,0",0,,"1,72937","2,08594","0,19777",AMARELA,PROVA AMARELA REGULAR,,"0,0",2016,"708,5983753204346",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/54217.png,"QUESTÃO 23

Dados recentes mostram que muitos são os
países periféricos que dependem dos recursos
enviados pelos imigrantes que estão nos países
centrais. Grande parte dos países da América Latina,
por exemplo, depende hoje das remessas de seus
imigrantes. Para se ter uma ideia mais concreta,
recentes dados divulgados pela ONU revelaram
que somente os indianos recebem 10 bilhões de
dólares de seus compatriotas no exterior. No México,
segundo maior volume de divisas, esse valor chega
a 9,9 bilhões de dólares e nas Filipinas, o terceiro, a
8,4 bilhões.

HAESBAERT, R: PORTO-CONÇAIVES, CW. A nova des ordem mundial
So Paulo: Edunesp, 206

Um aspecto do mundo globalizado que facilitou a
ocorrência do processo descrito, na transição do
século XX para o século XXI, foi o(a)

integração de culturas distintas.

avanço técnico das comunicações.

quebra de barreiras alfandegárias.

flexibilização de regras trabalhistas.
desconcentração espacial da produção.

0000
","772,3348140716553","961,4174365997314","59,89",0,1
2727,87,CH,85068,B,"19,0",0,,"1,77735","2,88396","0,2017",AMARELA,HUMANAS DIGITAL AMARELA,,"0,0",2020,"788,3827686309814",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85068.png,"Maior que os espaços metropolitanos tradicionais, incorporando áreas menores em
vizinhança e formando uma aglomeração em escala mais ampla, concentra o principal das.
atividades produtivas significativas em diversos setores (cadeias da indústria, investimentos.
estrangeiros diretos, operações de negócios intenacionai, trabalhadores migrantes, fluxos
monetários etc.). O conjunto da economia global passa a ser um arquipélago. delas,
constituindo os nós da malha econômica.

IBGE. Gestão do ertóio. Rio da Janio: ISGE, 2044 (adaptado.
A configuração geográfica descrita no texto é definida pelo conceito de

O meio técnico

O citadoregão.

000
Ê
8
Á
","850,0473499298096","1034,11602973938","60,08",0,1
3078,67,CH,89649,D,"20,0",0,,"2,49925","1,72549","0,13091",AMARELA,PROVA AMARELA REGULAR,,,2021,"672,5566387176514",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/89649.png,"Questão 67
Constatou-se uma infima inserção da indústria
brasileira nas novas tecnologias ancoradas na
microeletrônica, capazes de acarretar elevação da
produtividade nacional de forma sustentada. Os motores
do crescimento nacional, há décadas, são os grupos
relacionados a commodities agroindustriais e à indústria
representativa do antigo padrão fordista de produção,
esta última também limitada pela baixa potencialidade
futura de desencadear inovações tecnológicas capazes
de proporcionar elevação sustentada da produtividade.
ARENO, MA indusriiação do ral aro ano id Inermaionat do trato.
es mea por css em TE 1 og)

Um efeito desse cenário para a sociedade brasileira tem

o

O retomo à estatização econômica.

O ampliação do poder de consumo.

O subordinação aos fluxos globais.

Q incentivo à política de modemização.
","720,867395401001","850,7339954376221","56,55",0,1
1415,16,CH,25281,A,"21,0",0,,"1,50343","1,89255","0,14213",AMARELA,PROVA AMARELA REGULAR,,"0,0",2017,"689,2650127410889",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/25281.png,"QUESTÃO 61

Durante o Estado Novo, os encarregados da
propaganda procuraram  aperfeioar-se na arte da
empolgação e envolvimento das “multidões” através das
mensagens políticas. Nesse tipo de discurso, o significado
das palavras importa pouco, pois, como declarou
Goebbels, “não falamos para dizer alguma coisa, mas
para obter determinado efeito”
CAFELATO, Propaganda polca e cone dos meia de comunicação
1 PRADOLZA 5 (org) Repensando o Estado Novo. Rode dane: ON
O controle sobre os meios de comunicação foi uma
marca do Estado Novo, sendo fundamental à propaganda
política, na medida em que visava

O conquistar o apoio popular na legitimação do novo
governo.

ampliar o envolvimento das multidões nas decisões

políticas.

aumentar a oferta de informações públicas para a

sociedade civil

estender a participação democrática dos meios de

comunicação no Brasil

alargar o entendimento da população sobre as

intenções do novo governo.

vo 0 o
","768,4533596038818","984,5893383026124","57,11",0,1
6,7,CH,44452,B,"22,0",0,,"0,34104","0,60682","0,16604",Branco,PROVA BRANCA REGULAR,,,2014,"560,654878616333",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/44452.png,"QUESTÃO 07

TODO BRASILEIRO TEM AGORA LÊ AQUELE
DIREITO À MORADIA... PEDAÇO BONITO QUE
N FALA DE COMIDA,

SAÚDE...

PAIVA. M. Disponível em: wu edes un br Acesso em: 25 maio 2014.
A discussão levantada na charge, publicada logo após a
promulgação da Constituição de 1988, faz referência ao
seguinte conjunto de direitos

O Civis, como o direito à vida, à liberdade de expressão
e à propriedade.

O Sociais, como direito à educação, ao trabalho e à
proteção à matemidade e à infância

& Difusos, como direito à paz, ao desenvolvimento
sustentável e ao meio ambiente saudável

O Coletivos, como direito à organização sindical, à
participação partidária e à expressão religiosa.

O Políticos, como o direito de votar e ser votado, à
soberania popular e à participação democrática
","898,9613056182861","1854,235410690308","58,3",0,1
630,30,CH,18446,C,"23,0",0,,"2,83093","1,90625","0,20001",Amarelo,PROVA AMARELA PPL,,"0,0",2015,"690,6239986419678",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/18446.png,"QUESTÃO 30

A pura lealdade na amizade, embora até o presente
não tenha existido nenhum amigo leal, é imposta a todo
homem, essencialmente, pelo fato de tal dever estar
implicado como dever em geral, anteriormente a toda
experiência, na ideia de uma razão que determina a
vontade segundo princípios a priori

KANT, 1 Fundamentação da metafísica dos costumes. São Pao: Barcarotia, 2000.

A passagem citada expõe um pensamento
caracterizado pela

eficácia prática da razão empírica

transvaloração dos valores judaico-cristãos.

recusa em fundamentar a moral pela experiência
comparação da ética a uma ciência de rigor
matemático.

importância dos valores democráticos nas relações
de amizade.

o ovos
","729,4313907623291","844,9714183807373","60,0",0,1
3123,82,CH,82447,D,"24,0",0,,"3,12246","1,34418","0,1608",AMARELA,PROVA AMARELA PPL,,,2021,"634,4168186187744",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/82447.png,"Questão 82
Com direitos civis, mas sem direitos políticos, além
das mulheres, milhões de camponeses iletrados, em
sua maioria não brancos, num contexto altamente
racista e racializado, milhares de imigrantes estrangeiros
recém-chegados e de ex-escravos recém-libertos não
deixaram, apesar disso, de agir politicamente e de influir
decisivamente no devir da república em formação.

MATTOS, Aid polca fr SCHMARICZ 1 1 (Og A bata para o mundo:
TRE 1650 Pã o dona Om 2012

Um meio pelo qual esses grupos exerceram a cidadania,
nas primeiras décadas do regime político mencionado,
foio(a)

O prática do sufrágio livre e universal

programa de democratização do ensino.

aliança de oligarquias partidárias estaduais.

irrupção de levantes populares espontâneos.
discurso de inspiração social-darwinista e eugenista.
","671,6291904449463","775,9039402008057","58,04",0,1
2194,75,CH,84147,A,"25,0",0,,"2,067","0,32546","0,20034",Amarela,PROVA AMARELA REGULAR,,"0,0",2019,"532,5524806976318",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/84147.png,"Questão 75

O Ministério do Trabalho e Emprego (MTE)
realizou 248 ações fiscais e resgatou um total de
1.590 trabalhadores da situação análoga à de escravo,
em 2014, em todo o país. A análise do enfrentamento
do trabalho em condições análogas às de escravo
materializa a efetivação de parcerias inéditas no
trato da questão, podendo ser referenciadas ações

(Ibama) e Instituto Chico Mendes de Conservação da
Biodiversidade (ICMBio).

Disponivel em: htpportalmte govtbr.
Acesso em: 4 fev. 2015 (adaptado)

A estratégia defendida no texto para reduzir o problema
“social apontado consiste em:

O Articular os órgãos públicos.

O Pressionar o Poder Legislativo.

O Ampliar a emissão das multas.

O Limitar a autonomia das empresas.

Financiar as pesquisas acadêmicas.
","585,669755935669","743,915319442749","60,02",0,1
2198,77,CH,118038,D,"26,0",0,,"3,49023","1,02573","0,18725",Amarela,PROVA AMARELA REGULAR,,"0,0",2019,"602,5688648223877",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/118038.png,"Questão 77

Os moradores de Utgiagvik passaram dois meses
quase totalmente na escuridão

Os habitantes desta pequena cidade no Alasca

o estado dos Estados Unidos mais ao norte —

estão acostumados a longas noites sem ver a luz

do dia. Em 18 de novembro de 2018, seus pouco mais

de 4 mil habitantes viram o último pôr do sol do ano.

A oportunidade seguinte para ver a luz do dia ocorreu no

dia 23 de janeiro de 2019, às 13 h 04 min (horário local)

Disponível em: wunvbc.com. Acesso em: 16 maio 2019 (adaptado)

O fenômeno descrito está relacionado ao fato de a cidade.

citada ter uma posição geográfica condicionada pela

continentalidade.

maritimidade.

longitude.

atitude.

altitude.

","634,652853012085","728,2226085662842","59,36",0,1
